X,Y,BUILDINGS,USE,MATERIAL,NR_FLOORS,TYPE,VALUE_MIN,VALUE_MAX,PEOPLE_MIN,PEOPLE_MAX,COMMUNE,ADMIN_UNIT,Area,Use_Type,XCOORD,YCOORD,station,x,y
387282.504065074,5151882.5931479,_245,House,Masonary,3,MA_3,551267,681979,7.33,7,Tarvisio,TarvisioB2,189,1,387282.504065,5151882.593148,Sem27,13.5307148682415,46.5110746154497
387262.020451171,5151898.22989701,_246,House,Masonary,3,MA_3,501753,620725,7.33,7,Tarvisio,TarvisioB2,172,1,387262.020451,5151898.229897,Sem27,13.5304441590681,46.5112118629796
387297.267181228,5151908.10903755,_247,House,Masonary,4,MA_3,593767,734557,7.33,7,Tarvisio,TarvisioB2,153,1,387297.267181,5151908.109038,Sem27,13.5309010561439,46.5113066424568
387199.970708433,5151838.83131773,_248,House,Masonary,4,MA_3,1097952,1358291,7.33,7,Tarvisio,TarvisioB2,283,1,387199.970708,5151838.831318,Sem27,13.5296500167918,46.5106670866341
387149.925369007,5151814.97921914,_249,House,Masonary_wood,3,MA_3,613981,759564,7.33,7,Tarvisio,TarvisioB2,211,1,387149.925369,5151814.979219,SIHb,13.529003684509,46.5104441133457
387170.383211267,5151819.58989387,_250,House,Masonary,3,MA_3,609858,754464,7.33,7,Tarvisio,TarvisioB2,210,1,387170.383211,5151819.589894,SIHb,13.5292691430801,46.510489022218
387178.084731548,5151817.59413739,_251,House,Masonary_wood,1,MA_1,25389,31409,7.33,7,Tarvisio,TarvisioB2,26,1,387178.084732,5151817.594137,SIHb,13.5293699828847,46.5104723578266
387230.611186761,5151834.71195217,_252,House,Masonary,2,MA_2,266361,329519,7.33,7,Tarvisio,TarvisioB2,137,1,387230.611187,5151834.711952,Sem27,13.5300502813052,46.510635159171
387185.030560618,5151873.79525718,_253,House,Masonary,2,MA_2,535785,662826,7.33,7,Tarvisio,TarvisioB2,276,1,387185.030561,5151873.795257,Sem27,13.5294468515406,46.5109791389107
387324.840002718,5151933.02937649,_254,House,Masonary_wood,2,MA_2,419777,519312,7.33,7,Tarvisio,TarvisioB2,216,1,387324.840003,5151933.029376,Sem27,13.5312543114618,46.5115354551483
