"change in percent"; "return period in years"
25.3; 2
26.6; 3
27.5; 4
28.3; 5
28.9; 6
30.8; 10
32.3; 15
33.4; 20
35; 30
36.2; 40
37.2; 50
37.9; 60
39.2; 80
40.2; 100
